Ligand	Receptor
Cxcl11	S1pr3
Cxcl11	Gpr17
Cxcl11	Gper1
Cxcl11	Adora2b
Cxcl11	Oprd1
Cxcl11	Cxcr5
Cxcl11	Adra2b
Cxcl11	Tas2r121
Cxcl11	Tas2r124
Cxcl11	Tas2r102
Cxcl11	S1pr4
Cxcl11	Tas2r119
Cxcl11	Tas2r108
Cxcl11	Adcy9
Cxcl11	Gabbr1
Cxcl11	Cxcr2
Cxcl11	P2ry14
Cxcl11	Cnr1
Cxcl11	Htr1b
Cxcl11	Grm6
Cxcl11	Tas2r138
Cxcl11	Gpr55
Cxcl11	Cxcl16
Cxcl11	Lpar5
Cxcl11	Cnr2
Cxcl11	Sstr3
Cxcl11	Chrm2
Cxcl11	Galr3
Cxcl11	Drd4
Cxcl11	Dpp4
Cxcl11	Dpp4
Cxcl11	Dpp4
Cxcl11	Hcar2
Cxcl11	C5ar1
Cxcl11	Bdkrb2
Cxcl11	Ccr1
Cxcl11	Ccr1l1
Cxcl11	Gpr18
Cxcl11	Gabbr2
Cxcl11	Tas2r126
Cxcl11	Tas2r139
Cxcl11	Bdkrb1
Cxcl11	Adcy7
Cxcl11	Hrh4
Cxcl11	Ccr10
Cxcl11	Ccr7
Cxcl11	Chrm4
Cxcl11	Agtr2
Cxcl11	Tas2r130
Cxcl11	Grm8
Cxcl11	Lpar1
Cxcl11	Gna12
Cxcl11	Npbwr1
Cxcl11	P2ry13
Cxcl11	Adora2a
Cxcl11	Ptger3
Cxcl11	Adcy6
Cxcl11	Npy2r
Cxcl11	Adcy5
Cxcl11	Lpar2
Cxcl11	Galr2
Cxcl11	Npy4r
Cxcl12	Agtr2
Cxcl12	Erbb4
Cxcl12	Drd2
Cxcl12	Grm4
Cxcl12	Grm3
Cxcl12	Tas2r120
Cxcl12	Tas2r136
Cxcl12	Ccr1
Cxcl12	Ccr1l1
Cxcl12	Casr
Cxcl12	Htr1b
Cxcl12	Npy5r
Cxcl12	Nmur1
Cxcl12	Lpar3
Cxcl12	Adcy3
Cxcl12	Lpar5
Cxcl12	Ccr10
Cxcl12	Ccr10
Cxcl12	Cxcr2
Cxcl12	Npy
Cxcl12	Grm8
Cxcl12	Tas2r130
Cxcl12	Hrh4
Cxcl12	Ccr7
Cxcl12	Ccr10
Cxcl12	Adra2c
Cxcl12	Cxcr6
Cxcl12	App
Cxcl12	Ccr2
Cxcl12	Adcy5
Cxcl12	Mchr1
Cxcl12	Npy2r
Cxcl12	Tas2r137
Cxcl12	Ccr4
Cxcl12	Htr1a
Cxcl12	Tas2r108
Cxcl12	P2ry14
Cxcl12	Cxcr5
Cxcl12	Tas2r118
Cxcl12	Tas2r138
Cxcl12	Grm7
Cxcl12	Lpar1
Cxcl12	S1pr5
Cxcl12	Oprm1
Cxcl12	Aplnr
Cxcl12	Fpr-rs4
Cxcl12	Fpr-rs7
Cxcl12	Fpr-rs6
Cxcl12	Fpr-rs3
Cxcl12	Ccr4
Cxcl12	Adcy9
Cxcl12	Cd4
Cxcl12	C5ar1
Cxcl12	Tas2r139
Cxcl12	Htr5a
Cxcl12	Oprl1
Cxcl12	Adra2b
Cxcl12	P2ry13
Cxcl12	Grm6
Cxcl12	Grm2
Cxcl12	Gna13
Cxcl12	Drd4
Cxcl12	Oprk1
Cxcl12	Ccr8
Cxcl12	Ccr6
Cxcl12	Tas2r121
Cxcl12	Tas2r124
Cxcl12	Tas2r102
Cxcl12	Agtr1a
Cxcl12	Agtr1b
Cxcl12	Npy1r
Cxcl12	Bdkrb1
Cxcl12	Fpr3
Cxcl12	Fpr2
Cxcl12	Rxfp4
Cxcl12	Ptger3
Cxcl12	S1pr4
Cxcl12	P2ry4
Cxcl12	S1pr1
Cxcl12	Ccr5
Cxcl12	Lpar2
Cxcl12	Tas2r119
Cxcl12	Chrm4
Cxcl12	Bdkrb2
Cxcl12	Gpr18
Cxcl12	Htr1f
Cxcl12	Gabbr2
Cxcl12	Oxgr1
Cxcl12	Gna12
Cxcl12	Mtnr1b
Cxcl12	Adcy7
Cxcl12	Fpr1
Cxcl12	Adra2a
Cxcl12	Gabbr1
Cxcl12	Sstr5
Cxcl12	Gpr55
Cxcl12	Sstr1
Cxcl12	Galr2
Cxcl12	Adora2b
Cxcl12	S1pr3
Cxcl12	Ackr3
Cxcl12	Tas2r126
Cxcl12	Tas2r115
Cxcl12	Tas2r117
Cxcl12	Tas2r123
Cxcl12	Tas2r116
Cxcl12	Tas2r110
Cxcl12	Tas2r113
Cxcl12	Tas2r125
Cxcl12	Tas2r129
Cxcl12	Tas2r109
Cxcl12	Tas2r103
Cxcl12	Tas2r140
Cxcl12	Cnr2
Cxcl12	Sstr3
Cxcl12	Drd3
Cxcl12	Cxcl16
Cxcl12	Hrh3
Cxcl12	Gper1
Cxcl12	Hcar2
Cxcl12	Cnr1
Cxcl12	Ccr9
Cxcl12	Cxcr3
Cxcl12	P2ry12
Cxcl12	Npbwr1
Cxcl12	Ccr3
Cxcl12	Esr1
Cxcl12	Tas2r107
Cxcl12	Tas2r106
Cxcl12	Tas2r104
Cxcl12	Tas2r105
Cxcl12	Tas2r114
Cxcl12	Chrm2
Cxcl12	Adcy6
Cxcl12	Npy4r
Cxcl13	Adora2b
Cxcl13	Hrh3
Cxcl13	Ccr8
Cxcl13	Tas2r120
Cxcl13	Tas2r136
Cxcl13	Cxcl16
Cxcl13	Adra2b
Cxcl13	Npy5r
Cxcl13	S1pr1
Cxcl13	P2ry4
Cxcl13	Sstr1
Cxcl13	Chrm2
Cxcl13	Npy2r
Cxcl13	Htr1a
Cxcl13	Agtr2
Cxcl13	Npy
Cxcl13	Mtnr1a
Cxcl13	Grm8
Cxcl13	Sstr2
Cxcl13	Ccr1
Cxcl13	Ccr1l1
Cxcl13	Tas2r126
Cxcl13	Gpr55
Cxcl13	Nmur1
Cxcl13	P2ry13
Cxcl13	Sucnr1
Cxcl13	Grm6
Cxcl13	Ccr3
Cxcl13	Mtnr1b
Cxcl13	Sstr3
Cxcl13	Aplnr
Cxcl13	Gabbr1
Cxcl13	Fpr-rs4
Cxcl13	Fpr-rs7
Cxcl13	Fpr-rs6
Cxcl13	Fpr-rs3
Cxcl13	Mchr1
Cxcl13	Adcy9
Cxcl13	Chrm4
Cxcl13	Drd2
Cxcl13	S1pr3
Cxcl13	Gpr18
Cxcl13	Bdkrb2
Cxcl13	Tas2r138
Cxcl13	Hcar1
Cxcl13	App
Cxcl13	Grm7
Cxcl13	Fpr3
Cxcl13	Fpr2
Cxcl13	Ptgdr2
Cxcl13	Lpar3
Cxcl13	Galr2
Cxcl13	Sstr4
Cxcl13	Gper1
Cxcl13	Casr
Cxcl13	Htr1f
Cxcl13	Tas2r121
Cxcl13	Tas2r124
Cxcl13	Tas2r102
Cxcl13	Adra2c
Cxcl13	Oprl1
Cxcl13	Npbwr1
Cxcl13	Adcy3
Cxcl13	Sstr5
Cxcl13	Ccr7
Cxcl13	Cxcr5
Cxcl13	Cxcr5
Cxcl13	Cxcr5
Cxcl13	P2ry14
Cxcl13	Htr5a
Cxcl13	Oxgr1
Cxcl13	S1pr2
Cxcl13	S1pr5
Cxcl13	Ccr9
Cxcl13	Cxcr5
Cxcl13	Lpar5
Cxcl13	Tas2r119
Cxcl13	Gna12
Cxcl13	Lpar1
Cxcl13	Bdkrb1
Cxcl13	Drd3
Cxcl13	Ccr4
Cxcl13	Ccr10
Cxcl13	Ackr3
Cxcl13	Tas2r118
Cxcl13	Tas2r107
Cxcl13	Tas2r106
Cxcl13	Tas2r104
Cxcl13	Tas2r105
Cxcl13	Tas2r114
Cxcl13	Rxfp4
Cxcl13	Gng2
Cxcl13	Tas2r135
Cxcl13	Npy1r
Cxcl13	Adcy7
Cxcl13	Oprm1
Cxcl13	Ccr10
Cxcl13	Cxcr6
Cxcl13	Ccr5
Cxcl13	Drd4
Cxcl13	Cxcr2
Cxcl13	C3ar1
Cxcl13	Cnr1
Cxcl13	Gabbr2
Cxcl13	Htr1b
Cxcl13	Ccr2
Cxcl13	Tas2r139
Cxcl13	Tas2r130
Cxcl13	Tas2r108
Cxcl13	Tas2r115
Cxcl13	Tas2r117
Cxcl13	Tas2r123
Cxcl13	Tas2r116
Cxcl13	Tas2r110
Cxcl13	Tas2r113
Cxcl13	Tas2r125
Cxcl13	Tas2r129
Cxcl13	Tas2r109
Cxcl13	Tas2r103
Cxcl13	Tas2r140
Cxcl13	Agtr1a
Cxcl13	Agtr1b
Cxcl13	Grm2
Cxcl13	Cnr2
Cxcl13	Oprk1
Cxcl13	Adcy6
Cxcl13	Cxcr3
Cxcl13	Cxcr3
Cxcl13	Cxcr3
Cxcl13	Gpr17
Cxcl13	Grm4
Cxcl13	Adcy1
Cxcl13	C5ar1
Cxcl13	Ccr6
Cxcl13	Cxcr3
Cxcl13	Hcar2
Cxcl13	Tas2r137
Cxcl13	S1pr4
Cxcl13	P2ry12
Cxcl13	Fpr1
Cxcl13	Adra2a
Cxcl13	Hrh4
Cxcl13	Gna13
Cxcl13	Ptger3
Cxcl13	Grm3
Cxcl13	Adcy5
Cxcl13	Galr3
Cxcl13	Lpar2
Cxcl13	Npy4r
Cxcl5	S1pr4
Cxcl5	Fpr-rs4
Cxcl5	Fpr-rs7
Cxcl5	Fpr-rs6
Cxcl5	Fpr-rs3
Cxcl5	Bdkrb1
Cxcl5	Gabbr1
Cxcl9	Bdkrb1
Cxcl9	Casr
Cxcl9	Fpr3
Cxcl9	Fpr2
Cxcl9	S1pr4
Cxcl9	Cxcl16
Cxcl9	Npy2r
Cxcl9	Fpr1
Cxcl9	Grm4
Cxcl9	Gabbr2
Cxcl9	Adra2b
Cxcl9	Fpr-rs4
Cxcl9	Fpr-rs7
Cxcl9	Fpr-rs6
Cxcl9	Fpr-rs3
Cyb5d2	Agtrap
Cyb5d2	Ptprn
Dbnl	Syk
Dcn	Met
Dcn	Met
Dcn	Sdc3
Dcn	Pla2g2a
Dcn	Pla2g2a
Dcn	Igf2
Dcn	Insr
Dcn	Sdc1
Dcn	Egfr
Dcn	Gpc1
Dcn	Tlr2
Dcn	Tlr2
Dcn	Agrn
Dcn	Sdc2
Dcn	Egfr
Dcn	Tlr4
Dcn	Tlr4
Dcn	Gpc4
Dcn	Gpc5
Dcn	Sdc4
Dcn	Gpc2
Dcn	Gm43720
Ddr1	Tnfrsf22
Ddr1	Tnfrsf26
Ddr1	Tnfrsf23
Ddr1	Ddr1
Ddr1	Ddr1
Ddr1	Ddr1
Ddr1	Irs1
Ddr1	Cdh1
AY761185	Chrna5
Defa21	Chrna5
Defa23	Chrna5
Defa35	Chrna5
Defa25	Chrna5
Gm14851	Chrna5
Defa30	Chrna5
Defa22	Chrna5
Defa31	Chrna5
Gm15293	Chrna5
Gm15292	Chrna5
Defa3	Chrna5
Defa5	Chrna5
Defa27	Chrna5
Defa29	Chrna5
Defa2	Chrna5
Defa33	Chrna5
Defa36	Chrna5
Gm7849	Chrna5
Defa20	Chrna5
Defa32	Chrna5
Defa37	Chrna5
Defa28	Chrna5
Gm7861	Chrna5
Defa26	Chrna5
Defa17	Chrna5
Defa34	Chrna5
AY761184	Chrna5
Defa24	Chrna5
AY761185	Lama5
Defa21	Lama5
Defa23	Lama5
Defa35	Lama5
Defa25	Lama5
Gm14851	Lama5
Defa30	Lama5
Defa22	Lama5
Defa31	Lama5
Gm15293	Lama5
Gm15292	Lama5
Defa3	Lama5
Defa5	Lama5
Defa27	Lama5
Defa29	Lama5
Defa2	Lama5
Defa33	Lama5
Defa36	Lama5
Gm7849	Lama5
Defa20	Lama5
Defa32	Lama5
Defa37	Lama5
Defa28	Lama5
Gm7861	Lama5
Defa26	Lama5
Defa17	Lama5
Defa34	Lama5
AY761184	Lama5
Defa24	Lama5
AY761185	Plxna1
Defa21	Plxna1
Defa23	Plxna1
Defa35	Plxna1
Defa25	Plxna1
Gm14851	Plxna1
Defa30	Plxna1
Defa22	Plxna1
Defa31	Plxna1
Gm15293	Plxna1
Gm15292	Plxna1
Defa3	Plxna1
Defa5	Plxna1
Defa27	Plxna1
Defa29	Plxna1
Defa2	Plxna1
Defa33	Plxna1
Defa36	Plxna1
Gm7849	Plxna1
Defa20	Plxna1
Defa32	Plxna1
Defa37	Plxna1
Defa28	Plxna1
Gm7861	Plxna1
Defa26	Plxna1
Defa17	Plxna1
Defa34	Plxna1
AY761184	Plxna1
Defa24	Plxna1
AY761185	Plxnb2
Defa21	Plxnb2
Defa23	Plxnb2
Defa35	Plxnb2
Defa25	Plxnb2
Gm14851	Plxnb2
Defa30	Plxnb2
Defa22	Plxnb2
Defa31	Plxnb2
Gm15293	Plxnb2
Gm15292	Plxnb2
Defa3	Plxnb2
Defa5	Plxnb2
Defa27	Plxnb2
Defa29	Plxnb2
Defa2	Plxnb2
Defa33	Plxnb2
Defa36	Plxnb2
Gm7849	Plxnb2
Defa20	Plxnb2
Defa32	Plxnb2
Defa37	Plxnb2
Defa28	Plxnb2
Gm7861	Plxnb2
Defa26	Plxnb2
Defa17	Plxnb2
Defa34	Plxnb2
AY761184	Plxnb2
Defa24	Plxnb2
AY761185	Plxna2
Defa21	Plxna2
Defa23	Plxna2
Defa35	Plxna2
Defa25	Plxna2
Gm14851	Plxna2
Defa30	Plxna2
Defa22	Plxna2
Defa31	Plxna2
Gm15293	Plxna2
Gm15292	Plxna2
Defa3	Plxna2
Defa5	Plxna2
Defa27	Plxna2
Defa29	Plxna2
Defa2	Plxna2
Defa33	Plxna2
Defa36	Plxna2
Gm7849	Plxna2
Defa20	Plxna2
Defa32	Plxna2
Defa37	Plxna2
Defa28	Plxna2
Gm7861	Plxna2
Defa26	Plxna2
Defa17	Plxna2
Defa34	Plxna2
AY761184	Plxna2
Defa24	Plxna2
AY761185	Cd4
Defa21	Cd4
Defa23	Cd4
Defa35	Cd4
Defa25	Cd4
Gm14851	Cd4
Defa30	Cd4
Defa22	Cd4
Defa31	Cd4
Gm15293	Cd4
Gm15292	Cd4
Defa3	Cd4
Defa5	Cd4
Defa27	Cd4
Defa29	Cd4
Defa2	Cd4
Defa33	Cd4
Defa36	Cd4
Gm7849	Cd4
Defa20	Cd4
Defa32	Cd4
Defa37	Cd4
Defa28	Cd4
Gm7861	Cd4
Defa26	Cd4
Defa17	Cd4
Defa34	Cd4
AY761184	Cd4
Defa24	Cd4
AY761185	Mill1
AY761185	Mill2
Defa21	Mill1
Defa21	Mill2
Defa23	Mill1
Defa23	Mill2
Defa35	Mill1
Defa35	Mill2
Defa25	Mill1
Defa25	Mill2
Gm14851	Mill1
Gm14851	Mill2
Defa30	Mill1
Defa30	Mill2
Defa22	Mill1
Defa22	Mill2
Defa31	Mill1
Defa31	Mill2
Gm15293	Mill1
Gm15293	Mill2
Gm15292	Mill1
Gm15292	Mill2
Defa3	Mill1
Defa3	Mill2
Defa5	Mill1
Defa5	Mill2
Defa27	Mill1
Defa27	Mill2
Defa29	Mill1
Defa29	Mill2
Defa2	Mill1
Defa2	Mill2
Defa33	Mill1
Defa33	Mill2
Defa36	Mill1
Defa36	Mill2
Gm7849	Mill1
Gm7849	Mill2
Defa20	Mill1
Defa20	Mill2
Defa32	Mill1
Defa32	Mill2
Defa37	Mill1
Defa37	Mill2
Defa28	Mill1
Defa28	Mill2
Gm7861	Mill1
Gm7861	Mill2
Defa26	Mill1
Defa26	Mill2
Defa17	Mill1
Defa17	Mill2
Defa34	Mill1
Defa34	Mill2
AY761184	Mill1
AY761184	Mill2
Defa24	Mill1
Defa24	Mill2
AY761185	Egfr
Defa21	Egfr
Defa23	Egfr
Defa35	Egfr
Defa25	Egfr
Gm14851	Egfr
Defa30	Egfr
Defa22	Egfr
Defa31	Egfr
Gm15293	Egfr
Gm15292	Egfr
Defa3	Egfr
Defa5	Egfr
Defa27	Egfr
Defa29	Egfr
Defa2	Egfr
Defa33	Egfr
Defa36	Egfr
Gm7849	Egfr
Defa20	Egfr
Defa32	Egfr
Defa37	Egfr
Defa28	Egfr
Gm7861	Egfr
Defa26	Egfr
Defa17	Egfr
Defa34	Egfr
AY761184	Egfr
Defa24	Egfr
AY761185	Tgfbr3
Defa21	Tgfbr3
Defa23	Tgfbr3
Defa35	Tgfbr3
Defa25	Tgfbr3
Gm14851	Tgfbr3
Defa30	Tgfbr3
Defa22	Tgfbr3
Defa31	Tgfbr3
Gm15293	Tgfbr3
Gm15292	Tgfbr3
Defa3	Tgfbr3
Defa5	Tgfbr3
Defa27	Tgfbr3
Defa29	Tgfbr3
Defa2	Tgfbr3
Defa33	Tgfbr3
Defa36	Tgfbr3
Gm7849	Tgfbr3
Defa20	Tgfbr3
Defa32	Tgfbr3
Defa37	Tgfbr3
Defa28	Tgfbr3
Gm7861	Tgfbr3
Defa26	Tgfbr3
Defa17	Tgfbr3
Defa34	Tgfbr3
AY761184	Tgfbr3
Defa24	Tgfbr3
AY761185	Lifr
Defa21	Lifr
Defa23	Lifr
Defa35	Lifr
Defa25	Lifr
Gm14851	Lifr
Defa30	Lifr
Defa22	Lifr
Defa31	Lifr
Gm15293	Lifr
Gm15292	Lifr
Defa3	Lifr
Defa5	Lifr
Defa27	Lifr
Defa29	Lifr
Defa2	Lifr
Defa33	Lifr
Defa36	Lifr
Gm7849	Lifr
Defa20	Lifr
Defa32	Lifr
Defa37	Lifr
Defa28	Lifr
Gm7861	Lifr
Defa26	Lifr
Defa17	Lifr
Defa34	Lifr
AY761184	Lifr
Defa24	Lifr
AY761185	Cd109
Defa21	Cd109
Defa23	Cd109
Defa35	Cd109
Defa25	Cd109
Gm14851	Cd109
Defa30	Cd109
Defa22	Cd109
Defa31	Cd109
Gm15293	Cd109
Gm15292	Cd109
Defa3	Cd109
Defa5	Cd109
Defa27	Cd109
Defa29	Cd109
Defa2	Cd109
Defa33	Cd109
Defa36	Cd109
Gm7849	Cd109
Defa20	Cd109
Defa32	Cd109
Defa37	Cd109
Defa28	Cd109
Gm7861	Cd109
Defa26	Cd109
Defa17	Cd109
Defa34	Cd109
AY761184	Cd109
Defa24	Cd109
AY761185	Frem2
Defa21	Frem2
Defa23	Frem2
Defa35	Frem2
Defa25	Frem2
Gm14851	Frem2
Defa30	Frem2
Defa22	Frem2
Defa31	Frem2
Gm15293	Frem2
Gm15292	Frem2
Defa3	Frem2
Defa5	Frem2
Defa27	Frem2
Defa29	Frem2
Defa2	Frem2
Defa33	Frem2
Defa36	Frem2
Gm7849	Frem2
Defa20	Frem2
Defa32	Frem2
Defa37	Frem2
Defa28	Frem2
Gm7861	Frem2
Defa26	Frem2
Defa17	Frem2
Defa34	Frem2
AY761184	Frem2
Defa24	Frem2
AY761185	Ltbp1
Defa21	Ltbp1
Defa23	Ltbp1
Defa35	Ltbp1
Defa25	Ltbp1
Gm14851	Ltbp1
Defa30	Ltbp1
Defa22	Ltbp1
Defa31	Ltbp1
Gm15293	Ltbp1
Gm15292	Ltbp1
Defa3	Ltbp1
Defa5	Ltbp1
Defa27	Ltbp1
Defa29	Ltbp1
Defa2	Ltbp1
Defa33	Ltbp1
Defa36	Ltbp1
Gm7849	Ltbp1
Defa20	Ltbp1
Defa32	Ltbp1
Defa37	Ltbp1
Defa28	Ltbp1
Gm7861	Ltbp1
Defa26	Ltbp1
Defa17	Ltbp1
Defa34	Ltbp1
AY761184	Ltbp1
Defa24	Ltbp1
AY761185	Htra1
Defa21	Htra1
Defa23	Htra1
Defa35	Htra1
Defa25	Htra1
Gm14851	Htra1
Defa30	Htra1
Defa22	Htra1
Defa31	Htra1
Gm15293	Htra1
Gm15292	Htra1
Defa3	Htra1
Defa5	Htra1
Defa27	Htra1
Defa29	Htra1
Defa2	Htra1
Defa33	Htra1
Defa36	Htra1
Gm7849	Htra1
Defa20	Htra1
Defa32	Htra1
Defa37	Htra1
Defa28	Htra1
Gm7861	Htra1
Defa26	Htra1
Defa17	Htra1
Defa34	Htra1
AY761184	Htra1
Defa24	Htra1
AY761185	Nrp2
Defa21	Nrp2
Defa23	Nrp2
Defa35	Nrp2
Defa25	Nrp2
Gm14851	Nrp2
Defa30	Nrp2
Defa22	Nrp2
Defa31	Nrp2
Gm15293	Nrp2
Gm15292	Nrp2
Defa3	Nrp2
Defa5	Nrp2
Defa27	Nrp2
Defa29	Nrp2
Defa2	Nrp2
Defa33	Nrp2
Defa36	Nrp2
Gm7849	Nrp2
Defa20	Nrp2
Defa32	Nrp2
Defa37	Nrp2
Defa28	Nrp2
Gm7861	Nrp2
Defa26	Nrp2
Defa17	Nrp2
Defa34	Nrp2
AY761184	Nrp2
Defa24	Nrp2
AY761185	Zfyve9
Defa21	Zfyve9
Defa23	Zfyve9
Defa35	Zfyve9
Defa25	Zfyve9
Gm14851	Zfyve9
Defa30	Zfyve9
Defa22	Zfyve9
Defa31	Zfyve9
Gm15293	Zfyve9
Gm15292	Zfyve9
Defa3	Zfyve9
Defa5	Zfyve9
Defa27	Zfyve9
Defa29	Zfyve9
Defa2	Zfyve9
Defa33	Zfyve9
Defa36	Zfyve9
Gm7849	Zfyve9
Defa20	Zfyve9
Defa32	Zfyve9
Defa37	Zfyve9
Defa28	Zfyve9
Gm7861	Zfyve9
Defa26	Zfyve9
Defa17	Zfyve9
Defa34	Zfyve9
AY761184	Zfyve9
Defa24	Zfyve9
AY761185	App
Defa21	App
Defa23	App
Defa35	App
Defa25	App
Gm14851	App
Defa30	App
Defa22	App
Defa31	App
Gm15293	App
Gm15292	App
Defa3	App
Defa5	App
Defa27	App
Defa29	App
Defa2	App
Defa33	App
Defa36	App
Gm7849	App
Defa20	App
Defa32	App
Defa37	App
Defa28	App
Gm7861	App
Defa26	App
Defa17	App
Defa34	App
AY761184	App
Defa24	App
Dkk1	Kremen1
Dkk1	Kremen1
Dkk1	Kremen1
Dkk1	Kremen1
Dkk1	Lrp5
Dkk1	Lrp5
Dkk3	Esr2
Dkk3	Cdh1
Dkk4	Lrp5
Dkk4	Ide
Dlk1	Notch3
Dlk1	Cspg5
Dlk1	Ano6
Dlk1	Notch1
Dlk1	Slc19a2
Dlk2	Vezt
Dlk2	Notch3
Dlk2	Plscr1
Dlk2	Plscr2
Dlk2	1700057G04Rik
Dlk2	Plscr1
Dlk2	Plscr2
Dlk2	1700057G04Rik
Dlk2	Notch1
Dlk2	Lrp10
Dlk2	Plscr1
Dlk2	Plscr2
Dlk2	1700057G04Rik
Dlk2	Ldlr
Dlk2	Plscr1
Dlk2	Plscr2
Dlk2	1700057G04Rik
Dll1	Notch2
Dll1	Notch2
Dll1	Ncstn
Dll1	Notch3
Dll1	Epn1
Dll1	Notch3
Dll1	Dll1
Dll1	Notch3
Dll1	Jag2
Dll1	Notch3
Dll1	Adam10
Dll1	Adam10
Dll1	Notch2
Dll1	Notch2
Dll1	Notch2
Dll1	Notch2
Dll1	Jag1
Dll1	Psen1
Dll1	Notch1
Dll1	Dll1
Dll1	Notch1
Dll1	Notch1
Dll1	Notch1
Dll1	Dll4
Dll4	Notch3
Dll4	Dll1
Dll4	Jag2
Dll4	Jag1
Dll4	Notch2
Dll4	Notch1
Dll4	Ncstn
Dll4	Notch1
Dll4	Adam10
Dmbt1	Pard6b
Dnajb9	App
Dnase2b	Frem2
Dnase2b	Fat1
Dnase2b	Cercam
Dnase2b	Il17ra
Dpep1	Asic1
Dpep1	Lmbr1
Dpep1	Gja1
Dpp7	Ric8a
Dscam	Dscam
Dspp	Itgb1
Dspp	Itgav
Ebi3	Canx
Ebi3	Canx
Ebi3	Il27ra
Ebi3	Il27ra
Echdc1	App
Ecm1	Plscr1
Ecm1	Plscr2
Ecm1	1700057G04Rik
Ecm1	Il2rb
Ecm1	Cfi
Ecm1	Efemp1
Ecm1	Efemp1
Ecm1	Efemp1
Ecm1	Efemp1
Eda	Gpr21
Eda	Slc39a4
Eda	Chrna3
Edem2	Adgrg5
Edem2	Blk
Edem2	Canx
Edem2	Olfm1
Edn1	Ece1
Edn1	Casr
Edn1	Bdkrb1
Edn1	Cckbr
Edn1	Htr2a
Edn1	Gna11
Edn1	Lpar1
Edn1	Grm4
Edn1	Tacr3
Edn1	Nmbr
Edn1	Kiss1r
Edn1	Gpr4
Edn1	Fpr3
Edn1	Fpr2
Edn1	Agtr2
Edn1	Ntsr1
Edn1	Tacr2
Edn1	P2ry2
Edn2	Lpar1
Edn2	Casr
Edn2	Agtr1a
Edn2	Agtr1b
Edn2	Cysltr1
Edn2	F2rl1
Edn2	F2rl3
Edn2	Npsr1
Edn2	Tbxa2r
Edn2	Ffar2
Edn2	Ptgfr
Edn2	P2ry2
Edn2	Agtr2
Edn2	Bdkrb1
Edn2	Npffr2
Edn2	Gpr65
Edn2	P2ry6
Edn2	Hrh1
Edn2	Tacr2
Edn2	Gcgr
Edn2	Trhr
Edn2	Tacr3
Edn2	Htr2c
Edn2	Adra1a
Edn2	Mme
Edn2	Adra1b
Edn2	Grm4
Edn2	Ltb4r2
Edn2	F2r
Edn2	Htr2a
Edn2	Kiss1r
Edn2	Lpar6
Edn2	Prokr2
Edn2	Mchr1
Edn2	Tacr1
Edn2	Chrm1
Edn2	Adra1d
Edn2	Gprc6a
Edn2	Grm6
Edn2	Hcrtr1
Edn2	Fpr3
Edn2	Fpr2
Edn2	Grk5
Edn2	Nmbr
Edn2	Lpar4
Edn2	Ffar3
Edn2	Ntsr2
Edn2	Grm3
Edn2	Ntsr1
Edn2	Npffr1
Edn2	Bdkrb2
Edn2	Nmur1
Edn2	Cckar
Edn2	Opn4
Edn2	Grpr
Edn2	Avpr1b
Edn2	P2ry10
Edn2	Gna11
Edn2	Lpar2
Edn2	Grm2
Edn2	Ffar1
Edn2	Oxtr
Edn2	Grm8
Edn2	Grm1
Edn2	Ptafr
Edn2	Lpar5
Edn2	Gpr4
Edn2	Cckbr
Edn2	Arhgef25
Edn2	Chrm5
Edn2	Htr2b
Edn3	Gpr4
Edn3	Nmbr
Edn3	Gna11
Edn3	Cckbr
Edn3	Lpar1
Edn3	Grm2
Edn3	Grpr
Edn3	Bdkrb1
Edn3	Htr2a
Edn3	P2ry2
Edn3	Grm4
Edn3	Ntsr1
Edn3	Agtr2
Edn3	Kiss1r
Edn3	Fpr3
Edn3	Fpr2
Edn3	Ednrb
Edn3	Casr
Edn3	Tacr2
Edn3	Tacr3
Efemp1	Ric8a
Efemp1	Ric8a
Efemp1	Ltbp1
Efemp1	Ric8a
Efemp1	Cacna1a
Efemp1	Cacna1a
Efemp1	Mfap3
Efemp2	Catsper1
Efemp2	Catsper1
Efemp2	Catsper1
Efemp2	Efemp2
Efemp2	Plscr4
Efemp2	Plscr4
Efemp2	Plscr4
Efemp2	Ptger3
Efemp2	Plscr1
Efemp2	Plscr2
Efemp2	1700057G04Rik
Efemp2	Cacna1a
Efemp2	Cacna1a
Efemp2	Plscr1
Efemp2	Plscr2
Efemp2	1700057G04Rik
Efemp2	Ptger3
Efemp2	Mfap3
Efemp2	Plscr1
Efemp2	Plscr2
Efemp2	1700057G04Rik
Efemp2	Ptger3
Efemp2	Lingo1
Efemp2	Lingo1
Efemp2	Lingo1
Efemp2	Plscr1
Efemp2	Plscr2
Efemp2	1700057G04Rik
Efemp2	Catsper1
Efemp2	Fbln5
Efna1	Epha5
Efna1	Epha7
Efna1	Epha6
Efna1	Epha7
Efna1	Epha3
Efna2	Epha4
Efna2	Epha4
Efna2	Epha4
Efna2	Epha4
Efna2	Adam10
Efna2	Kir3dl1
Efna2	Kir3dl2
Efna2	Adam10
Efna2	Epha3
Efna3	Epha4
Efna3	Epha4
Efna3	Epha4
Efna3	Epha3
Efna3	Epha10
Efna3	Epha5
Efna3	Epha6
Efna3	Epha7
Efna3	Epha7
Efna3	Epha7
Efna4	Epha7
Efna4	Epha7
Efna4	Epha7
Efna4	Epha6
Efna4	Epha3
Efna4	Epha10
Efna4	Epha5
Efna4	Epha4
Efna4	Epha4
