Ligand	Receptor
Agt	Kiss1r
Agt	Atp6ap2
Agt	Atp6ap2
Agt	Bdkrb1
Agt	Htr2a
Agt	Cxcl16
Agt	Fpr3
Agt	Fpr2
Agt	Cckbr
Agt	Adra2b
Agt	Gabbr2
Agt	Casr
Agt	Ripk4
Agt	Fpr-rs4
Agt	Fpr-rs7
Agt	Fpr-rs6
Agt	Fpr-rs3
Agt	Ntsr1
Agt	S1pr4
Agt	Gpr4
Agt	Npy2r
Agt	Npy
Agt	App
Agt	Ace
Agt	Ace
Agt	Ace
Ahsg	Ly96
Ahsg	Egfr
Ahsg	Grb2
Ahsg	Cdc42
Ahsg	Insr
Ahsg	Cdc42
Aimp1	Iqgap1
Aimp1	Iqgap1
Aimp1	Ptpn6
Aimp1	Mcc
Aimp1	Mcc
Aimp1	Mcc
Aimp1	Coro1c
Aimp1	App
Alb	Fcgrt
Alb	Fcgrt
Alb	Fcgrt
Alb	Adra1b
Alb	Kcnma1
Alb	Apoe
Alb	Nr5a2
Alb	Apoe
Alb	Nr5a2
Alb	Lat
Alb	Nphs1
Alcam	Egfr
Alcam	Egfr
Alcam	Egfr
Alcam	Egfr
Alcam	Cd6
Alcam	Alcam
Alcam	Alcam
Alcam	L1cam
Aldoart2	Egfr
Aldoart1	Egfr
Aldoa	Egfr
Aldoart2	Pld2
Aldoart1	Pld2
Aldoa	Pld2
Aldoart2	Cacna1a
Aldoart1	Cacna1a
Aldoa	Cacna1a
Alkal1	Ltk
Alkal1	Ltk
Alkal1	Ltk
Amh	Egfr
Amh	Amhr2
Amh	Tnfrsf14
Amtn	Ptpn1
Ang2	Tdgf1
Ang4	Tdgf1
Ang	Tdgf1
Ang5	Tdgf1
Ang6	Tdgf1
Ang2	Tdgf1
Ang4	Tdgf1
Ang	Tdgf1
Ang5	Tdgf1
Ang6	Tdgf1
Ang2	Tdgf1
Ang4	Tdgf1
Ang	Tdgf1
Ang5	Tdgf1
Ang6	Tdgf1
Ang2	Tdgf1
Ang4	Tdgf1
Ang	Tdgf1
Ang5	Tdgf1
Ang6	Tdgf1
Ang2	Plaur
Ang4	Plaur
Ang	Plaur
Ang5	Plaur
Ang6	Plaur
Ang2	Plaur
Ang4	Plaur
Ang	Plaur
Ang5	Plaur
Ang6	Plaur
Ang2	Anxa2
Ang4	Anxa2
Ang	Anxa2
Ang5	Anxa2
Ang6	Anxa2
Ang2	Anxa2
Ang4	Anxa2
Ang	Anxa2
Ang5	Anxa2
Ang6	Anxa2
Ang2	Abcg8
Ang4	Abcg8
Ang	Abcg8
Ang5	Abcg8
Ang6	Abcg8
Ang2	Abcg8
Ang4	Abcg8
Ang	Abcg8
Ang5	Abcg8
Ang6	Abcg8
Angpt1	Shc1
Angpt1	Grb14
Angpt1	Grb7
Angpt1	Tek
Angpt1	Tek
Angpt1	Tek
Angpt1	Tek
Angpt1	Tek
Angpt1	Tek
Angpt1	Tek
Angpt1	Kras
Angpt2	Tek
Angpt2	Tek
Angpt2	Tek
Angpt2	Tek
Angpt2	Tek
Angpt4	Tek
Angpt4	Tek
Angpt4	Tek
Angptl1	Nr2f6
Angptl1	Tek
Angptl1	Tek
Angptl3	Lpl
Angptl3	Lpl
Angptl3	Itga5
Angptl4	Esr1
Angptl4	Esr1
Angptl4	Fgfr4
Angptl4	Rxra
Angptl7	App
Anxa1	Egfr
Anxa1	Cd4
Anxa1	Egfr
Anxa1	Egfr
Anxa1	Egfr
Anxa1	Egfr
Anxa1	Egfr
Anxa1	Ptafr
Anxa1	Gpr4
Anxa1	Tas2r118
Anxa1	Grpr
Anxa1	Gper1
Anxa1	Cxcr5
Anxa1	Npbwr1
Anxa1	Fpr3
Anxa1	Fpr2
Anxa1	Cnr2
Anxa1	Ccr1
Anxa1	Ccr1l1
Anxa1	Adra2b
Anxa1	Chrm2
Anxa1	Atp4a
Anxa1	Ccr10
Anxa1	P2ry10
Anxa1	Grm1
Anxa1	Npy5r
Anxa1	Gpr55
Anxa1	P2ry2
Anxa1	Ntsr1
Anxa1	Tas2r115
Anxa1	Tas2r117
Anxa1	Tas2r123
Anxa1	Tas2r116
Anxa1	Tas2r110
Anxa1	Tas2r113
Anxa1	Tas2r125
Anxa1	Tas2r129
Anxa1	Tas2r109
Anxa1	Tas2r103
Anxa1	Tas2r140
Anxa1	Cxcr2
Anxa1	Ffar2
Anxa1	Ffar1
Anxa1	Gpr65
Anxa1	Tas2r137
Anxa1	Grk5
Anxa1	Tas2r130
Anxa1	Kiss1r
Anxa1	Npsr1
Anxa1	Cckar
Anxa1	Npffr2
Anxa1	C5ar1
Anxa1	Hrh3
Anxa1	F2rl3
Anxa1	Sstr5
Anxa1	Grm6
Anxa1	F2rl1
Anxa1	Tas2r108
Anxa1	Tas2r139
Anxa1	Tas2r120
Anxa1	Tas2r136
Anxa1	Bdkrb1
Anxa1	Ccr9
Anxa1	Adra2c
Anxa1	Drd2
Anxa1	Lpar1
Anxa1	Tas2r107
Anxa1	Tas2r106
Anxa1	Tas2r104
Anxa1	Tas2r105
Anxa1	Tas2r114
Anxa1	Agtr1a
Anxa1	Agtr1b
Anxa1	Npffr1
Anxa1	Tbxa2r
Anxa1	Gcgr
Anxa1	Tacr3
Anxa1	Lpar4
Anxa1	Ccr7
Anxa1	Prokr2
Anxa1	S1pr4
Anxa1	Hcar2
Anxa1	Htr2c
Anxa1	Gna11
Anxa1	Adra1b
Anxa1	Adra2a
Anxa1	Adra1a
Anxa1	Chrm4
Anxa1	Vcam1
Anxa1	Cul5
Anxa1	Agtr2
Anxa1	Adora2b
Anxa1	Hcrtr1
Anxa1	Tas2r126
Anxa1	Arhgef25
Anxa1	Cysltr1
Anxa1	Drd3
Anxa1	Lpar5
Anxa1	Gabbr2
Anxa1	Ackr3
Anxa1	Ccr3
Anxa1	Grm4
Anxa1	Trhr
Anxa1	Cckbr
Anxa1	Lpar2
Anxa1	Oprm1
Anxa1	Sstr3
Anxa1	Cdh1
Anxa1	Tacr1
Anxa1	Chrm1
Anxa1	Grm8
Anxa1	P2ry6
Anxa1	Galr2
Anxa1	Gprc6a
Anxa1	Nmur1
Anxa1	Rxfp4
Anxa1	Grm3
Anxa1	Npy2r
Anxa1	Ptgfr
Anxa1	Oprl1
Anxa1	Ffar3
Anxa1	Cnr1
Anxa1	Drd4
Anxa1	Casr
Anxa1	Nmbr
Anxa1	Adcy3
Anxa1	Gna12
Anxa1	P2ry12
Anxa1	Htr2a
Anxa1	Avpr1b
Anxa1	Htr1f
Anxa1	Hrh4
Anxa1	Fpr-rs4
Anxa1	Fpr-rs7
Anxa1	Fpr-rs6
Anxa1	Fpr-rs3
Anxa1	Mtnr1b
Anxa1	Ptger3
Anxa1	Oprk1
Anxa1	Npy
Anxa1	Ltb4r2
Anxa1	Ccr8
Anxa1	Tacr2
Anxa1	Cxcl16
Anxa1	S1pr5
Anxa1	Adcy6
Anxa1	Fpr1
Anxa1	Adra1d
Anxa1	Oxtr
Anxa1	Ccr5
Anxa1	Grm2
Anxa1	P2ry14
Anxa1	Ccr4
Anxa1	Npy1r
Anxa1	Adcy9
Anxa1	Gna13
Anxa1	P2ry13
Anxa1	Oxgr1
Anxa1	F2r
Anxa1	Bdkrb2
Anxa1	Tas2r119
Anxa1	Fpr1
Anxa1	Gpr18
Anxa1	Chrm5
Anxa1	Npy4r
Anxa2	Atp4a
Anxa2	Cd4
Anxa2	Iqgap1
Anxa2	Mcc
Anxa2	Mcc
Anxa2	Mcc
Anxa2	Anxa2
Anxa2	Trpv5
Anxa2	S100a6
Anxa2	Anxa2
Anxa2	S100a6
Anxa2	Grb2
Anxa2	Nckap1l
Anxa2	Cdc42
Anxa2	Cdh1
Anxa2	App
Anxa2	Vcam1
Anxa2	Egfr
Anxa2	Egfr
Anxa5	Kdr
Anxa7	Ngfr
Anxa7	Ngfr
Anxa7	Sema5b
Anxa7	Cul5
Aoc1	Aoc1
Aoc1	1600015I10Rik
Aoc1	Doxl2
Aoc1	Svs1
1600015I10Rik	Aoc1
1600015I10Rik	1600015I10Rik
1600015I10Rik	Doxl2
1600015I10Rik	Svs1
Doxl2	Aoc1
Doxl2	1600015I10Rik
Doxl2	Doxl2
Doxl2	Svs1
Svs1	Aoc1
Svs1	1600015I10Rik
Svs1	Doxl2
Svs1	Svs1
Ap2m1	Grb2
Ap2m1	Egfr
Ap2m1	Epn1
Ap2m1	Egfr
Ap2m1	Krt1
Ap2m1	Egfr
Ap2m1	H2-Ea-ps
Ap2m1	H2-Eb2
Ap2m1	Fzd2
Ap2m1	Grb2
Ap2m1	Egfr
Ap2m1	Epn1
Ap2m1	Ap2a2
Ap2m1	Ap2m1
Ap2m1	Cdh1
Ap2m1	Eps15l1
Ap2m1	Cry1
Ap2m1	Prkar1b
Ap2m1	Cacna1a
Ap2m1	Sptbn1
Ap2m1	Cbl
Ap2m1	Ror2
Ap2m1	Ap2m1
Ap2m1	Glp1r
Ap2m1	Glp1r
Ap2m1	Sv2a
Ap2m1	Gpr156
Ap2m1	Arrb2
Ap2m1	Crk
Ap2m1	Coro1c
Ap2m1	D130043K22Rik
Ap2m1	Arrb2
Ap2m1	Epha2
Ap2m1	Dab2
Ap2m1	H2-Ab1
Ap2m1	Cd74
Ap2m1	Dab2
Ap2m1	Egf
Ap2m1	Ap2a2
Ap2m1	Hspa1b
Ap2m1	Hspa1a
Ap2m1	Ap2a2
Ap2m1	Ifnar1
Ap2m1	Iqgap1
Ap2m1	Ifnar1
Ap2m1	Cd28
Ap2m1	Kcnq1
Ap2m1	Cd4
Ap2m1	Ap2a1
Ap2m1	Ezr
Ap2m1	Cry2
Ap2m1	Eps15
Ap2m1	Kcnq1
Ap2m1	Ap2a1
Ap2m1	Ap2a1
Ap2m1	Ctla4
Ap2m1	Ctla4
Ap2m1	Ctla4
Ap2m1	Ctla4
Ap2m1	Ctla4
Ap2m1	Stx8
Ap2m1	Amer1
Ap2m1	Adra1b
Ap2m1	Adra1b
Ap2m1	Tgoln1
Ap2m1	Tgoln1
Ap2m1	L1cam
Ap2m1	Ap2s1
Ap2m1	Vcam1
Ap2m1	Esr1
Ap2m1	Ap2s1
Ap2m1	Cd22
Ap2m1	Shc1
Ap2m1	Fzd5
Ap2m1	Cd8b1
Ap2m1	L1cam
Apcs	Fcgr4
Apcs	Fcgr2b
Apcs	Fcgr3
Apcs	Fcgr1
Apcs	Fcgr4
Apcs	Fcgr1
Apln	Fpr-rs4
Apln	Fpr-rs7
Apln	Fpr-rs6
Apln	Fpr-rs3
Apln	Npy2r
Apln	Fpr1
Apln	Grm4
Apln	S1pr4
Apln	Cnr2
Apln	Fpr3
Apln	Fpr2
Apln	Sstr5
Apln	Gabbr2
Apln	Lpar1
Apln	Agtr2
Apln	Adra2b
Apln	Cxcl16
Apln	Bdkrb1
Apln	Casr
Apoa1	Gpc1
Apoa1	Il7r
Apoa1	App
Apoa1	Vcam1
Apoa1	Cd40lg
Apoa2	Gpc1
Apoa2	Apoe
Apoa2	Apoe
Apoa2	Apoe
Apoa2	Apoe
Apoa2	Apoe
Apoa2	Gpc5
Apoa2	Gpc4
Apoa5	Rxra
Apoa5	Apoe
Apoa5	Lrp1
Apoa5	Lrp1
Apob	Sdc1
Apob	Olr1
Apob	Gpc4
Apob	Agrn
Apob	Msr1
Apob	Gpc5
Apob	Gpc2
Apob	Gm43720
Apob	Ldlr
Apob	Lpl
Apob	Ldlr
Apob	Sdc3
Apob	Fgr
Apob	P2ry12
Apob	Sdc2
Apob	Lrp2
Apob	Sdc4
Apob	Cd36
Apob	Pcsk9
Apob	Pecam1
Apob	Stab1
Apob	Gpc1
Apob	Scarb1
Apob	Egfr
Apob	Colec12
Apob	Apoe
Apob	Apoe
Apob	Akt2
Apob	Apoe
Apob	Lrp8
Apob	Lrp1
Apob	Scarf1
Apob	Akt2
Gm44805	Gpc1
Apoc2	Gpc1
Gm44805	Lrp8
Apoc2	Lrp8
Gm44805	Apoe
Apoc2	Apoe
Gm44805	Apoe
Apoc2	Apoe
Gm44805	Apoe
Apoc2	Apoe
Gm44805	Apoe
Apoc2	Apoe
Gm44805	Gpc2
Gm44805	Gm43720
Apoc2	Gpc2
Apoc2	Gm43720
Apoc3	Lrp1
Apoc3	Agrn
Apoc3	Gpc2
Apoc3	Gm43720
Apoc3	Lpl
Apoc3	Gpc5
Apoc3	Sdc1
Apoc3	Apoe
Apoc3	Lrp8
Apoc3	Gpc1
Apoc3	Sdc2
Apoc3	Lrp2
Apoc3	Sdc4
Apoc3	Gpc4
Apod	Lepr
Apod	Esr1
Apod	Efemp1
Apod	Nectin2
Apoe	Apoe
Apoe	Apoe
Apoe	Apoe
Apoe	Apoe
Apoe	Apoe
Apoe	Apoe
Apoe	Apoe
Apoe	Tyro3
Apoe	Gpc1
Apoe	Loxl4
Apoe	Loxl4
Apoe	Lpl
Apoe	Psen1
Apoe	App
Apoe	Htra1
Apoh	Atp4a
Apoh	Cdc42
Apoh	Cdc42
Apoh	Clec4g
Apoh	Grb2
Apoh	Grb2
Apoh	Clec4g
Apoh	Lrp2
Apoh	Anxa2
Apoh	Lrp2
Apoh	Anxa2
Apoh	Lrp8
Apol9a	Htr3a
Apol10a	Htr3a
Apol11a	Htr3a
Apol10b	Htr3a
Apol11b	Htr3a
Apol9b	Htr3a
Apol9a	Chrnd
Apol10a	Chrnd
Apol11a	Chrnd
Apol10b	Chrnd
Apol11b	Chrnd
Apol9b	Chrnd
Apol9a	Bsg
Apol10a	Bsg
Apol11a	Bsg
Apol10b	Bsg
Apol11b	Bsg
Apol9b	Bsg
